date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:15:53	78372/78372	---M-Z	200	added ('OK')	text/html	etag:%2213224-5b749d953ac1d-gzip%22	https://sego.dexignzone.com/xhtml/general-customers.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/general-customers.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:53	165877/165877	---M-Z	200	added ('OK')	text/html	etag:%22287f5-5b749d989f15c-gzip%22	https://sego.dexignzone.com/xhtml/analytics.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/analytics.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:54	86478/86478	---M-Z	200	added ('OK')	text/html	etag:%22151ce-5b749d9968182-gzip%22	https://sego.dexignzone.com/xhtml/reviews.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/reviews.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:54	69995/69995	---M-Z	200	added ('OK')	text/html	etag:%221116b-5b749db413169-gzip%22	https://sego.dexignzone.com/xhtml/post-details.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/post-details.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:55	64189/64189	---M-Z	200	added ('OK')	text/html	etag:%22fabd-5b749dac5b2ca-gzip%22	https://sego.dexignzone.com/xhtml/email-compose.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/email-compose.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:55	67620/67620	---M-Z	200	added ('OK')	text/html	etag:%2210824-5b749dae785a7-gzip%22	https://sego.dexignzone.com/xhtml/email-read.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/email-read.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:55	61476/61476	---M-Z	200	added ('OK')	text/html	etag:%22f024-5b749d9f3a2af-gzip%22	https://sego.dexignzone.com/xhtml/app-calender.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/app-calender.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:56	66957/66957	---M-Z	200	added ('OK')	text/html	etag:%221058d-5b749daa06a82-gzip%22	https://sego.dexignzone.com/xhtml/ecom-product-grid.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ecom-product-grid.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:56	73860/73860	---M-Z	200	added ('OK')	text/html	etag:%2212084-5b749daac8578-gzip%22	https://sego.dexignzone.com/xhtml/ecom-product-list.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ecom-product-list.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:56	65703/65703	---M-Z	200	added ('OK')	text/html	etag:%22100a7-5b749da941b76-gzip%22	https://sego.dexignzone.com/xhtml/ecom-product-detail.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ecom-product-detail.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:57	97538/97538	---M-Z	200	added ('OK')	text/html	etag:%2217d02-5b749dab97dc9-gzip%22	https://sego.dexignzone.com/xhtml/ecom-product-order.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ecom-product-order.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:57	71961/71961	---M-Z	200	added ('OK')	text/html	etag:%2211919-5b749da61b3cd-gzip%22	https://sego.dexignzone.com/xhtml/ecom-checkout.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ecom-checkout.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:58	63540/63540	---M-Z	200	added ('OK')	text/html	etag:%22f834-5b749da86bafa-gzip%22	https://sego.dexignzone.com/xhtml/ecom-invoice.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ecom-invoice.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:58	110611/110611	---M-Z	200	added ('OK')	text/html	etag:%221b013-5b749da7bcb7f-gzip%22	https://sego.dexignzone.com/xhtml/ecom-customers.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ecom-customers.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:58	61053/61053	---M-Z	200	added ('OK')	text/html	etag:%22ee7d-5b749da2bd6b8-gzip%22	https://sego.dexignzone.com/xhtml/chart-flot.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/chart-flot.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:59	59292/59292	---M-Z	200	added ('OK')	text/html	etag:%22e79c-5b749da39ed7f-gzip%22	https://sego.dexignzone.com/xhtml/chart-morris.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/chart-morris.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:59	63664/63664	---M-Z	200	added ('OK')	text/html	etag:%22f8b0-5b749da19e25c-gzip%22	https://sego.dexignzone.com/xhtml/chart-chartjs.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/chart-chartjs.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:59	69017/69017	---M-Z	200	added ('OK')	text/html	etag:%2210d99-5b749da0f4e06-gzip%22	https://sego.dexignzone.com/xhtml/chart-chartist.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/chart-chartist.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:15:59	60741/60741	---M-Z	200	added ('OK')	text/html	etag:%22ed45-5b749da54bb7c-gzip%22	https://sego.dexignzone.com/xhtml/chart-sparkline.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/chart-sparkline.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:16:00	69071/69071	---M-Z	200	added ('OK')	text/html	etag:%2210dcf-5b749da4a0015-gzip%22	https://sego.dexignzone.com/xhtml/chart-peity.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/chart-peity.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:16:00	106518/106518	---M-Z	200	added ('OK')	text/html	etag:%221a016-5b749d9cc3786-gzip%22	https://sego.dexignzone.com/xhtml/ui-accordion.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ui-accordion.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:16:00	140909/140909	---M-Z	200	added ('OK')	text/html	etag:%222266d-5b749d9dc7e32-gzip%22	https://sego.dexignzone.com/xhtml/ui-alert.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ui-alert.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:16:01	73163/73163	---M-Z	200	added ('OK')	text/html	etag:%2211dcb-5b749db7c3198-gzip%22	https://sego.dexignzone.com/xhtml/ui-badge.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ui-badge.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:16:01	86205/86205	---M-Z	200	added ('OK')	text/html	etag:%22150bd-5b749db95c714-gzip%22	https://sego.dexignzone.com/xhtml/ui-button.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ui-button.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:16:02	75714/75714	---M-Z	200	added ('OK')	text/html	etag:%22127c2-5b749dbe49060-gzip%22	https://sego.dexignzone.com/xhtml/ui-modal.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ui-modal.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:16:02	65555/65555	---M-Z	200	added ('OK')	text/html	etag:%2210013-5b749db886699-gzip%22	https://sego.dexignzone.com/xhtml/ui-button-group.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ui-button-group.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:16:02	73807/73807	---M-Z	200	added ('OK')	text/html	etag:%221204f-5b749dbd770ff-gzip%22	https://sego.dexignzone.com/xhtml/ui-list-group.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ui-list-group.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:16:02	68770/68770	---M-Z	200	added ('OK')	text/html	etag:%2210ca2-5b749d9e8c039-gzip%22	https://sego.dexignzone.com/xhtml/ui-media-object.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ui-media-object.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:16:03	69426/69426	---M-Z	200	added ('OK')	text/html	etag:%2210f32-5b749dba35ba6-gzip%22	https://sego.dexignzone.com/xhtml/ui-card.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ui-card.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:16:04	67759/67759	---M-Z	200	added ('OK')	text/html	etag:%22108af-5b749dbaf5c91-gzip%22	https://sego.dexignzone.com/xhtml/ui-carousel.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ui-carousel.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:16:04	92500/92500	---M-Z	200	added ('OK')	text/html	etag:%2216954-5b749dbbd323d-gzip%22	https://sego.dexignzone.com/xhtml/ui-dropdown.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ui-dropdown.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:16:04	58986/58986	---M-Z	200	added ('OK')	text/html	etag:%22e66a-5b749dbfbcee7-gzip%22	https://sego.dexignzone.com/xhtml/ui-popover.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ui-popover.html	(from https://sego.dexignzone.com/xhtml/index.html)
20:16:05	77495/77495	---M-Z	200	added ('OK')	text/html	etag:%2212eb7-5b749dc0aa8fe-gzip%22	https://sego.dexignzone.com/xhtml/ui-progressbar.html	C:/Users/Ibrahimnawab/Desktop/it/admin_panelNew/sego.dexignzone.com/xhtml/ui-progressbar.html	(from https://sego.dexignzone.com/xhtml/index.html)
